bank,keywords,themes
CBE,"['good', 'app', 'work', 'nice', 'use', 'easy', 'update', 'like', 'application', 'cbe']","['Account Access Issues', 'Transaction Performance', 'User Interface & Experience']"
BOA,"['app', 'work', 'good', 'bad', 'bank', 'boa', 'mobile', 'banking', 'update', 'crash']","['Customer Support', 'Feature Requests', 'Transaction Speed']"
Dashen,"['app', 'dashen', 'good', 'super', 'bank', 'fast', 'easy', 'banking', 'amazing', 'use']","['App Stability', 'Security Concerns', 'User Experience']"
